municipality,year,e
Copenhagen,2008,72.5
Frederiksberg,2008,75.6
Dragør,2008,80.5
Tårnby,2008,79.0
Albertslund,2008,73.1
Ballerup,2008,75.9
Brøndby,2008,72.3
Gentofte,2008,79.2
Gladsaxe,2008,77.9
Glostrup,2008,79.2
Herlev,2008,77.7
Hvidovre,2008,78.0
Høje-Taastrup,2008,76.5
Ishøj,2008,72.8
Lyngby-Taarbæk,2008,78.7
Rødovre,2008,78.0
Vallensbæk,2008,82.4
Allerød,2008,83.8
Egedal,2008,84.0
Fredensborg,2008,78.1
Frederikssund,2008,79.9
Furesø,2008,80.5
Gribskov,2008,78.0
Halsnæs,2008,75.8
Helsingør,2008,75.9
Hillerød,2008,81.4
Hørsholm,2008,80.1
Rudersdal,2008,79.0
Bornholm,2008,68.0
Christiansø,2008,62.9
Greve,2008,79.6
Køge,2008,78.4
Lejre,2008,81.5
Roskilde,2008,79.1
Solrød,2008,81.8
Faxe,2008,77.8
Guldborgsund,2008,71.7
Holbæk,2008,76.7
Kalundborg,2008,74.2
Lolland,2008,66.6
Næstved,2008,76.0
Odsherred,2008,70.6
Ringsted,2008,78.6
Slagelse,2008,74.0
Sorø,2008,77.1
Stevns,2008,77.8
Vordingborg,2008,71.8
Assens,2008,76.0
Faaborg-Midtfyn,2008,75.7
Kerteminde,2008,76.0
Langeland,2008,69.0
Middelfart,2008,77.7
Nordfyns,2008,76.5
Nyborg,2008,73.9
Odense,2008,71.6
Svendborg,2008,71.9
Ærø,2008,68.4
Billund,2008,80.1
Esbjerg,2008,75.0
Fanø,2008,74.7
Fredericia,2008,75.9
Haderslev,2008,76.8
Kolding,2008,78.7
Sønderborg,2008,75.1
Tønder,2008,75.7
Varde,2008,80.9
Vejen,2008,79.6
Vejle,2008,79.2
Aabenraa,2008,74.6
Favrskov,2008,81.8
Hedensted,2008,82.3
Horsens,2008,76.6
Norddjurs,2008,74.4
Odder,2008,79.0
Randers,2008,76.3
Samsø,2008,70.8
Silkeborg,2008,79.5
Skanderborg,2008,81.4
Syddjurs,2008,76.6
Aarhus,2008,72.6
Herning,2008,78.6
Holstebro,2008,79.2
Ikast-Brande,2008,79.0
Lemvig,2008,78.4
Ringkøbing-Skjern,2008,80.8
Skive,2008,76.5
Struer,2008,76.4
Viborg,2008,79.4
Brønderslev,2008,76.2
Frederikshavn,2008,74.4
Hjørring,2008,75.5
Jammerbugt,2008,76.3
Læsø,2008,73.1
Mariagerfjord,2008,77.1
Morsø,2008,73.1
Rebild,2008,81.0
Thisted,2008,76.9
Vesthimmerlands,2008,76.9
Aalborg,2008,73.2
Copenhagen,2009,70.0
Frederiksberg,2009,73.7
Dragør,2009,78.8
Tårnby,2009,76.3
Albertslund,2009,69.2
Ballerup,2009,72.9
Brøndby,2009,69.6
Gentofte,2009,76.6
Gladsaxe,2009,75.0
Glostrup,2009,76.1
Herlev,2009,75.3
Hvidovre,2009,75.2
Høje-Taastrup,2009,72.9
Ishøj,2009,68.8
Lyngby-Taarbæk,2009,76.0
Rødovre,2009,75.2
Vallensbæk,2009,79.6
Allerød,2009,81.5
Egedal,2009,81.5
Fredensborg,2009,75.6
Frederikssund,2009,77.4
Furesø,2009,78.1
Gribskov,2009,75.8
Halsnæs,2009,72.5
Helsingør,2009,73.2
Hillerød,2009,78.6
Hørsholm,2009,77.7
Rudersdal,2009,76.8
Bornholm,2009,66.4
Christiansø,2009,64.6
Greve,2009,77.1
Køge,2009,74.9
Lejre,2009,79.4
Roskilde,2009,76.3
Solrød,2009,79.2
Faxe,2009,74.2
Guldborgsund,2009,69.3
Holbæk,2009,73.7
Kalundborg,2009,70.7
Lolland,2009,63.4
Næstved,2009,72.8
Odsherred,2009,67.7
Ringsted,2009,75.4
Slagelse,2009,70.8
Sorø,2009,74.3
Stevns,2009,74.9
Vordingborg,2009,68.6
Assens,2009,71.9
Faaborg-Midtfyn,2009,71.8
Kerteminde,2009,72.0
Langeland,2009,66.2
Middelfart,2009,74.4
Nordfyns,2009,72.8
Nyborg,2009,70.7
Odense,2009,68.2
Svendborg,2009,69.1
Ærø,2009,66.7
Billund,2009,76.9
Esbjerg,2009,71.6
Fanø,2009,73.2
Fredericia,2009,71.8
Haderslev,2009,72.6
Kolding,2009,74.5
Sønderborg,2009,70.3
Tønder,2009,72.2
Varde,2009,77.5
Vejen,2009,75.7
Vejle,2009,75.4
Aabenraa,2009,71.6
Favrskov,2009,78.6
Hedensted,2009,77.4
Horsens,2009,72.3
Norddjurs,2009,71.1
Odder,2009,76.1
Randers,2009,71.9
Samsø,2009,69.6
Silkeborg,2009,75.3
Skanderborg,2009,78.2
Syddjurs,2009,73.3
Aarhus,2009,69.8
Herning,2009,74.3
Holstebro,2009,75.6
Ikast-Brande,2009,74.5
Lemvig,2009,74.6
Ringkøbing-Skjern,2009,76.7
Skive,2009,72.3
Struer,2009,72.2
Viborg,2009,75.8
Brønderslev,2009,72.3
Frederikshavn,2009,70.5
Hjørring,2009,71.7
Jammerbugt,2009,72.1
Læsø,2009,67.0
Mariagerfjord,2009,72.4
Morsø,2009,69.1
Rebild,2009,77.0
Thisted,2009,73.3
Vesthimmerlands,2009,72.7
Aalborg,2009,70.1
Copenhagen,2010,69.7
Frederiksberg,2010,72.7
Dragør,2010,78.5
Tårnby,2010,75.4
Albertslund,2010,67.5
Ballerup,2010,71.9
Brøndby,2010,68.3
Gentofte,2010,76.4
Gladsaxe,2010,74.1
Glostrup,2010,74.5
Herlev,2010,73.7
Hvidovre,2010,73.8
Høje-Taastrup,2010,71.6
Ishøj,2010,67.9
Lyngby-Taarbæk,2010,75.2
Rødovre,2010,73.9
Vallensbæk,2010,78.9
Allerød,2010,81.4
Egedal,2010,80.7
Fredensborg,2010,75.0
Frederikssund,2010,76.5
Furesø,2010,77.4
Gribskov,2010,75.2
Halsnæs,2010,71.3
Helsingør,2010,73.2
Hillerød,2010,77.7
Hørsholm,2010,77.4
Rudersdal,2010,76.3
Bornholm,2010,65.9
Christiansø,2010,67.8
Greve,2010,76.2
Køge,2010,74.0
Lejre,2010,78.3
Roskilde,2010,75.2
Solrød,2010,78.8
Faxe,2010,73.6
Guldborgsund,2010,68.4
Holbæk,2010,72.9
Kalundborg,2010,69.5
Lolland,2010,62.4
Næstved,2010,72.1
Odsherred,2010,66.9
Ringsted,2010,74.4
Slagelse,2010,69.9
Sorø,2010,73.4
Stevns,2010,74.4
Vordingborg,2010,68.0
Assens,2010,71.7
Faaborg-Midtfyn,2010,71.3
Kerteminde,2010,70.7
Langeland,2010,65.4
Middelfart,2010,74.0
Nordfyns,2010,72.0
Nyborg,2010,69.5
Odense,2010,67.0
Svendborg,2010,68.6
Ærø,2010,66.0
Billund,2010,76.5
Esbjerg,2010,70.6
Fanø,2010,73.0
Fredericia,2010,70.6
Haderslev,2010,71.1
Kolding,2010,74.0
Sønderborg,2010,70.0
Tønder,2010,71.5
Varde,2010,76.7
Vejen,2010,74.9
Vejle,2010,74.8
Aabenraa,2010,70.9
Favrskov,2010,78.0
Hedensted,2010,78.3
Horsens,2010,71.6
Norddjurs,2010,70.5
Odder,2010,75.2
Randers,2010,71.3
Samsø,2010,68.2
Silkeborg,2010,74.5
Skanderborg,2010,77.9
Syddjurs,2010,72.2
Aarhus,2010,69.0
Herning,2010,73.7
Holstebro,2010,75.1
Ikast-Brande,2010,74.1
Lemvig,2010,75.4
Ringkøbing-Skjern,2010,75.7
Skive,2010,72.3
Struer,2010,72.2
Viborg,2010,75.4
Brønderslev,2010,72.4
Frederikshavn,2010,70.3
Hjørring,2010,71.4
Jammerbugt,2010,72.3
Læsø,2010,67.7
Mariagerfjord,2010,72.9
Morsø,2010,68.5
Rebild,2010,76.9
Thisted,2010,72.4
Vesthimmerlands,2010,72.6
Aalborg,2010,69.7
Copenhagen,2011,69.6
Frederiksberg,2011,72.8
Dragør,2011,78.5
Tårnby,2011,75.8
Albertslund,2011,67.4
Ballerup,2011,72.0
Brøndby,2011,68.2
Gentofte,2011,76.1
Gladsaxe,2011,73.6
