municipality,year,inc
Copenhagen,2006,255315.0
Frederiksberg,2006,305539.0
Dragør,2006,339630.0
Tårnby,2006,291735.0
Albertslund,2006,270290.0
Ballerup,2006,308616.0
Brøndby,2006,284642.0
Gentofte,2006,499367.0
Gladsaxe,2006,321479.0
Glostrup,2006,294325.0
Herlev,2006,301627.0
Hvidovre,2006,273525.0
Høje-Taastrup,2006,288442.0
Ishøj,2006,262398.0
Lyngby-Taarbæk,2006,377950.0
Rødovre,2006,269911.0
Vallensbæk,2006,322476.0
Allerød,2006,343864.0
Egedal,2006,317034.0
Fredensborg,2006,352449.0
Frederikssund,2006,325615.0
Furesø,2006,361900.0
Gribskov,2006,322501.0
Halsnæs,2006,279605.0
Helsingør,2006,336447.0
Hillerød,2006,322852.0
Hørsholm,2006,475493.0
Rudersdal,2006,462109.0
Bornholm,2006,0.0
Greve,2006,338384.0
Køge,2006,304645.0
Lejre,2006,312496.0
Roskilde,2006,326593.0
Solrød,2006,366926.0
Faxe,2006,265940.0
Guldborgsund,2006,311180.0
Holbæk,2006,325801.0
Kalundborg,2006,312972.0
Lolland,2006,284648.0
Næstved,2006,312918.0
Odsherred,2006,269843.0
Ringsted,2006,299047.0
Slagelse,2006,298182.0
Sorø,2006,298751.0
Stevns,2006,295838.0
Vordingborg,2006,289460.0
Assens,2006,272356.0
Faaborg-Midtfyn,2006,278895.0
Kerteminde,2006,305204.0
Langeland,2006,264659.0
Middelfart,2006,326376.0
Nordfyns,2006,277032.0
Nyborg,2006,282603.0
Odense,2006,276750.0
Svendborg,2006,304580.0
Ærø,2006,250689.0
Billund,2006,304543.0
Esbjerg,2006,304431.0
Fanø,2006,249176.0
Fredericia,2006,322561.0
Haderslev,2006,301884.0
Kolding,2006,306352.0
Sønderborg,2006,291138.0
Tønder,2006,303004.0
Varde,2006,317079.0
Vejen,2006,292967.0
Vejle,2006,320410.0
Aabenraa,2006,299805.0
Favrskov,2006,283042.0
Hedensted,2006,342776.0
Horsens,2006,293657.0
Norddjurs,2006,277117.0
Odder,2006,298741.0
Randers,2006,286967.0
Samsø,2006,244398.0
Silkeborg,2006,306523.0
Skanderborg,2006,297827.0
Syddjurs,2006,272369.0
Aarhus,2006,292162.0
Herning,2006,317290.0
Holstebro,2006,309839.0
Ikast-Brande,2006,270379.0
Lemvig,2006,294967.0
Ringkøbing-Skjern,2006,319141.0
Skive,2006,300561.0
Struer,2006,308008.0
Viborg,2006,309960.0
Brønderslev,2006,277475.0
Frederikshavn,2006,322764.0
Hjørring,2006,303941.0
Jammerbugt,2006,282770.0
Læsø,2006,212685.0
Mariagerfjord,2006,289367.0
Morsø,2006,314233.0
Rebild,2006,285438.0
Thisted,2006,294356.0
Vesthimmerlands,2006,276746.0
Aalborg,2006,272060.0
Copenhagen,2007,254533.0
Frederiksberg,2007,301547.0
Dragør,2007,367640.0
Tårnby,2007,279844.0
Albertslund,2007,267863.0
Ballerup,2007,316825.0
Brøndby,2007,275288.0
Gentofte,2007,493166.0
Gladsaxe,2007,311481.0
Glostrup,2007,310113.0
Herlev,2007,304046.0
Hvidovre,2007,278479.0
Høje-Taastrup,2007,293392.0
Ishøj,2007,272168.0
Lyngby-Taarbæk,2007,385154.0
Rødovre,2007,273912.0
Vallensbæk,2007,315917.0
Allerød,2007,352608.0
Egedal,2007,323006.0
Fredensborg,2007,362123.0
Frederikssund,2007,310297.0
Furesø,2007,373867.0
Gribskov,2007,328543.0
Halsnæs,2007,282767.0
Helsingør,2007,366894.0
Hillerød,2007,330188.0
Hørsholm,2007,481819.0
Rudersdal,2007,476063.0
Bornholm,2007,0.0
Greve,2007,427136.0
Køge,2007,298777.0
Lejre,2007,319583.0
Roskilde,2007,337020.0
Solrød,2007,381362.0
Faxe,2007,280270.0
Guldborgsund,2007,300763.0
Holbæk,2007,323210.0
Kalundborg,2007,292765.0
Lolland,2007,256991.0
Næstved,2007,315715.0
Odsherred,2007,265400.0
Ringsted,2007,300824.0
Slagelse,2007,358692.0
Sorø,2007,295857.0
Stevns,2007,297083.0
Vordingborg,2007,296713.0
Assens,2007,282915.0
Faaborg-Midtfyn,2007,287072.0
Kerteminde,2007,315783.0
Langeland,2007,277738.0
Middelfart,2007,314521.0
Nordfyns,2007,274666.0
Nyborg,2007,265732.0
Odense,2007,287972.0
Svendborg,2007,310943.0
Ærø,2007,247390.0
Billund,2007,308656.0
Esbjerg,2007,305020.0
Fanø,2007,288287.0
Fredericia,2007,323305.0
Haderslev,2007,304865.0
Kolding,2007,303998.0
Sønderborg,2007,293664.0
Tønder,2007,321373.0
Varde,2007,320149.0
Vejen,2007,284201.0
Vejle,2007,317838.0
Aabenraa,2007,301676.0
Favrskov,2007,281067.0
Hedensted,2007,295952.0
Horsens,2007,285733.0
Norddjurs,2007,270578.0
Odder,2007,295313.0
Randers,2007,288608.0
Samsø,2007,209691.0
Silkeborg,2007,299099.0
Skanderborg,2007,301740.0
Syddjurs,2007,281880.0
Aarhus,2007,294202.0
Herning,2007,323785.0
Holstebro,2007,314308.0
Ikast-Brande,2007,276841.0
Lemvig,2007,288288.0
Ringkøbing-Skjern,2007,299283.0
Skive,2007,311131.0
Struer,2007,296151.0
Viborg,2007,302889.0
Brønderslev,2007,289479.0
Frederikshavn,2007,305865.0
Hjørring,2007,296820.0
Jammerbugt,2007,295244.0
Læsø,2007,220597.0
Mariagerfjord,2007,289928.0
Morsø,2007,309731.0
Rebild,2007,282704.0
Thisted,2007,310288.0
Vesthimmerlands,2007,279715.0
Aalborg,2007,279302.0
Copenhagen,2008,259216.0
Frederiksberg,2008,296988.0
Dragør,2008,371290.0
Tårnby,2008,288973.0
Albertslund,2008,269855.0
Ballerup,2008,318849.0
Brøndby,2008,270060.0
Gentofte,2008,432986.0
Gladsaxe,2008,314085.0
Glostrup,2008,303614.0
Herlev,2008,305674.0
Hvidovre,2008,282547.0
Høje-Taastrup,2008,295470.0
Ishøj,2008,273514.0
Lyngby-Taarbæk,2008,376831.0
Rødovre,2008,282785.0
Vallensbæk,2008,322322.0
Allerød,2008,332231.0
Egedal,2008,322639.0
Fredensborg,2008,358232.0
Frederikssund,2008,315467.0
Furesø,2008,351544.0
Gribskov,2008,305570.0
Halsnæs,2008,291467.0
Helsingør,2008,343955.0
Hillerød,2008,330168.0
Hørsholm,2008,449936.0
Rudersdal,2008,438678.0
Bornholm,2008,0.0
Greve,2008,354125.0
Køge,2008,301817.0
Lejre,2008,308463.0
Roskilde,2008,327941.0
Solrød,2008,377431.0
Faxe,2008,285858.0
Guldborgsund,2008,267946.0
Holbæk,2008,310391.0
Kalundborg,2008,275663.0
Lolland,2008,262789.0
Næstved,2008,288067.0
Odsherred,2008,258069.0
Ringsted,2008,299064.0
Slagelse,2008,295110.0
